0;A;A-D;B;B-D;C;C-D;D;D-D;E;E-D
71;Grab an exposed garment. Uneasy grip impedes foe's actions.;+5H, foe @ -50 2x;Weak hold around foe's waist. He brings his knee up and you lose your grip. Foe does not recover quickly.;'+4H, foe @ -50 3x;Very strong grip around foe's waist. Foe is held at a great disadvantage. He might get free.;stun no parry 2x, foe @ -50;You grapple foe in a brutal way. Hold proves to be excellent. You have him. What next?;stun no parry 1x, foe @ -70 3x;Foe evades your grasp by falling to the ground. A clever ploy. Smile at your good fortune.;+9H, stun no parry 2x
72;Grab an exposed garment. Uneasy grip impedes foe's actions.;+5H, foe @ -50 2x;Weak hold around foe's waist. He brings his knee up and you lose your grip. Foe does not recover quickly.;'+4H, foe @ -50 3x;Very strong grip around foe's waist. Foe is held at a great disadvantage. He might get free.;stun no parry 2x, foe @ -50;You grapple foe in a brutal way. Hold proves to be excellent. You have him. What next?;stun no parry 1x, foe @ -70 3x;Foe evades your grasp by falling to the ground. A clever ploy. Smile at your good fortune.;+9H, stun no parry 2x
73;Grab an exposed garment. Uneasy grip impedes foe's actions.;+5H, foe @ -50 2x;Weak hold around foe's waist. He brings his knee up and you lose your grip. Foe does not recover quickly.;'+4H, foe @ -50 3x;Very strong grip around foe's waist. Foe is held at a great disadvantage. He might get free.;stun no parry 2x, foe @ -50;You grapple foe in a brutal way. Hold proves to be excellent. You have him. What next?;stun no parry 1x, foe @ -70 3x;Foe evades your grasp by falling to the ground. A clever ploy. Smile at your good fortune.;+9H, stun no parry 2x
74;Grab an exposed garment. Uneasy grip impedes foe's actions.;+5H, foe @ -50 2x;Weak hold around foe's waist. He brings his knee up and you lose your grip. Foe does not recover quickly.;'+4H, foe @ -50 3x;Very strong grip around foe's waist. Foe is held at a great disadvantage. He might get free.;stun no parry 2x, foe @ -50;You grapple foe in a brutal way. Hold proves to be excellent. You have him. What next?;stun no parry 1x, foe @ -70 3x;Foe evades your grasp by falling to the ground. A clever ploy. Smile at your good fortune.;+9H, stun no parry 2x
75;Grab an exposed garment. Uneasy grip impedes foe's actions.;+5H, foe @ -50 2x;Weak hold around foe's waist. He brings his knee up and you lose your grip. Foe does not recover quickly.;'+4H, foe @ -50 3x;Very strong grip around foe's waist. Foe is held at a great disadvantage. He might get free.;stun no parry 2x, foe @ -50;You grapple foe in a brutal way. Hold proves to be excellent. You have him. What next?;stun no parry 1x, foe @ -70 3x;Foe evades your grasp by falling to the ground. A clever ploy. Smile at your good fortune.;+9H, stun no parry 2x
76;Grapple foe's shield arm. If foe has a shield, you pull it down. If foe has no shield, you immobilize his arm.;+2H, foe @ -50 4x;Entangle foe's shield arm. If foe has shield, your grip makes it impossible to use. Until shield dropped: (-30). If no shield his arm is entangled.;Foe @ -40;Entangle foe's weapon arm. His weapon is held immobile. He cannot use it, but he will not drop it. He tries to knee you to escape, this fails.;stun no parry 2x, foe @ -50;Entangle foe's weapon arm. Foe hangs onto his weapon, but the arm is immobilized. You try to make him strike himself. It fails.;+4H;Grab foe's weapon arm and beat on it, without concern for the rest of foe. Foe is disarmed. You tear ligaments and pull muscles.;stun 3x, foe @ -40
77;Grapple foe's shield arm. If foe has a shield, you pull it down. If foe has no shield, you immobilize his arm.;+2H, foe @ -50 4x;Entangle foe's shield arm. If foe has shield, your grip makes it impossible to use. Until shield dropped: (-30). If no shield his arm is entangled.;Foe @ -40;Entangle foe's weapon arm. His weapon is held immobile. He cannot use it, but he will not drop it. He tries to knee you to escape, this fails.;stun no parry 2x, foe @ -50;Entangle foe's weapon arm. Foe hangs onto his weapon, but the arm is immobilized. You try to make him strike himself. It fails.;+4H;Grab foe's weapon arm and beat on it, without concern for the rest of foe. Foe is disarmed. You tear ligaments and pull muscles.;stun 3x, foe @ -40
78;Grapple foe's shield arm. If foe has a shield, you pull it down. If foe has no shield, you immobilize his arm.;+2H, foe @ -50 4x;Entangle foe's shield arm. If foe has shield, your grip makes it impossible to use. Until shield dropped: (-30). If no shield his arm is entangled.;Foe @ -40;Entangle foe's weapon arm. His weapon is held immobile. He cannot use it, but he will not drop it. He tries to knee you to escape, this fails.;stun no parry 2x, foe @ -50;Entangle foe's weapon arm. Foe hangs onto his weapon, but the arm is immobilized. You try to make him strike himself. It fails.;+4H;Grab foe's weapon arm and beat on it, without concern for the rest of foe. Foe is disarmed. You tear ligaments and pull muscles.;stun 3x, foe @ -40
79;Grapple foe's shield arm. If foe has a shield, you pull it down. If foe has no shield, you immobilize his arm.;+2H, foe @ -50 4x;Entangle foe's shield arm. If foe has shield, your grip makes it impossible to use. Until shield dropped: (-30). If no shield his arm is entangled.;Foe @ -40;Entangle foe's weapon arm. His weapon is held immobile. He cannot use it, but he will not drop it. He tries to knee you to escape, this fails.;stun no parry 2x, foe @ -50;Entangle foe's weapon arm. Foe hangs onto his weapon, but the arm is immobilized. You try to make him strike himself. It fails.;+4H;Grab foe's weapon arm and beat on it, without concern for the rest of foe. Foe is disarmed. You tear ligaments and pull muscles.;stun 3x, foe @ -40
80;Grapple foe's shield arm. If foe has a shield, you pull it down. If foe has no shield, you immobilize his arm.;+2H, foe @ -50 4x;Entangle foe's shield arm. If foe has shield, your grip makes it impossible to use. Until shield dropped: (-30). If no shield his arm is entangled.;Foe @ -40;Entangle foe's weapon arm. His weapon is held immobile. He cannot use it, but he will not drop it. He tries to knee you to escape, this fails.;stun no parry 2x, foe @ -50;Entangle foe's weapon arm. Foe hangs onto his weapon, but the arm is immobilized. You try to make him strike himself. It fails.;+4H;Grab foe's weapon arm and beat on it, without concern for the rest of foe. Foe is disarmed. You tear ligaments and pull muscles.;stun 3x, foe @ -40
81;Useful grip on foe's neck. Foe's face turns red. He cannot breath easily. Slowly he breaks your grip.;+5H, stun 2x, foe @ -25 2x;Grip around foe's waist unbalances him. You have the initiative. Foe shares much profanity with you.;Foe @ -50 6x;Brutal grip around foe's chest, leaves bruises all over him. Your assault has created much confusion.;+3H, stun no parry 3x, foe @ -5;Grab knee and send foe down. He breaks his fall by breaking his shield arm. He is disarmed and prone.;+5H, stun no parry 2x, foe @ -10;Entangle both of foe's arms and pin them to his body. Foe cannot move his arms and looks ready to surrender.;Foe @ -75 10x
82;Useful grip on foe's neck. Foe's face turns red. He cannot breath easily. Slowly he breaks your grip.;+5H, stun 2x, foe @ -25 2x;Grip around foe's waist unbalances him. You have the initiative. Foe shares much profanity with you.;Foe @ -50 6x;Brutal grip around foe's chest, leaves bruises all over him. Your assault has created much confusion.;+3H, stun no parry 3x, foe @ -5;Grab knee and send foe down. He breaks his fall by breaking his shield arm. He is disarmed and prone.;+5H, stun no parry 2x, foe @ -10;Entangle both of foe's arms and pin them to his body. Foe cannot move his arms and looks ready to surrender.;Foe @ -75 10x
83;Useful grip on foe's neck. Foe's face turns red. He cannot breath easily. Slowly he breaks your grip.;+5H, stun 2x, foe @ -25 2x;Grip around foe's waist unbalances him. You have the initiative. Foe shares much profanity with you.;Foe @ -50 6x;Brutal grip around foe's chest, leaves bruises all over him. Your assault has created much confusion.;+3H, stun no parry 3x, foe @ -5;Grab knee and send foe down. He breaks his fall by breaking his shield arm. He is disarmed and prone.;+5H, stun no parry 2x, foe @ -10;Entangle both of foe's arms and pin them to his body. Foe cannot move his arms and looks ready to surrender.;Foe @ -75 10x
84;Useful grip on foe's neck. Foe's face turns red. He cannot breath easily. Slowly he breaks your grip.;+5H, stun 2x, foe @ -25 2x;Grip around foe's waist unbalances him. You have the initiative. Foe shares much profanity with you.;Foe @ -50 6x;Brutal grip around foe's chest, leaves bruises all over him. Your assault has created much confusion.;+3H, stun no parry 3x, foe @ -5;Grab knee and send foe down. He breaks his fall by breaking his shield arm. He is disarmed and prone.;+5H, stun no parry 2x, foe @ -10;Entangle both of foe's arms and pin them to his body. Foe cannot move his arms and looks ready to surrender.;Foe @ -75 10x
85;Useful grip on foe's neck. Foe's face turns red. He cannot breath easily. Slowly he breaks your grip.;+5H, stun 2x, foe @ -25 2x;Grip around foe's waist unbalances him. You have the initiative. Foe shares much profanity with you.;Foe @ -50 6x;Brutal grip around foe's chest, leaves bruises all over him. Your assault has created much confusion.;+3H, stun no parry 3x, foe @ -5;Grab knee and send foe down. He breaks his fall by breaking his shield arm. He is disarmed and prone.;+5H, stun no parry 2x, foe @ -10;Entangle both of foe's arms and pin them to his body. Foe cannot move his arms and looks ready to surrender.;Foe @ -75 10x
86;Grasp foe's leg, lifting it off the ground for a moment. You have the initiative for 6 rounds.;+3H, stun 3x;Entangle foe's leg and send him down. He does not hit hard. He pulls a muscle in his leg struggling.;stun no parry 2x, foe @ -10;Your assault is strong and lucky. As you grapple foe, you stomp his foot. He falls hard, breaking his shoulder.;+10H, stun 6x, foe @ -40;Tie up both of foe's arms. He is immobile and cannot fight back effectively. You have him now.;+10H, stun no parry 9x;Foe stumbles, with your assistance, and falls. His weapon breaks on impact. If foe has no chest armor, he takes a 'D' Krush.;+3H, stun 1x
87;Grasp foe's leg, lifting it off the ground for a moment. You have the initiative for 6 rounds.;+3H, stun 3x;Entangle foe's leg and send him down. He does not hit hard. He pulls a muscle in his leg struggling.;stun no parry 2x, foe @ -10;Your assault is strong and lucky. As you grapple foe, you stomp his foot. He falls hard, breaking his shoulder.;+10H, stun 6x, foe @ -40;Tie up both of foe's arms. He is immobile and cannot fight back effectively. You have him now.;+10H, stun no parry 9x;Foe stumbles, with your assistance, and falls. His weapon breaks on impact. If foe has no chest armor, he takes a 'D' Krush.;+3H, stun 1x
88;Grasp foe's leg, lifting it off the ground for a moment. You have the initiative for 6 rounds.;+3H, stun 3x;Entangle foe's leg and send him down. He does not hit hard. He pulls a muscle in his leg struggling.;stun no parry 2x, foe @ -10;Your assault is strong and lucky. As you grapple foe, you stomp his foot. He falls hard, breaking his shoulder.;+10H, stun 6x, foe @ -40;Tie up both of foe's arms. He is immobile and cannot fight back effectively. You have him now.;+10H, stun no parry 9x;Foe stumbles, with your assistance, and falls. His weapon breaks on impact. If foe has no chest armor, he takes a 'D' Krush.;+3H, stun 1x
89;Grasp foe's leg, lifting it off the ground for a moment. You have the initiative for 6 rounds.;+3H, stun 3x;Entangle foe's leg and send him down. He does not hit hard. He pulls a muscle in his leg struggling.;stun no parry 2x, foe @ -10;Your assault is strong and lucky. As you grapple foe, you stomp his foot. He falls hard, breaking his shoulder.;+10H, stun 6x, foe @ -40;Tie up both of foe's arms. He is immobile and cannot fight back effectively. You have him now.;+10H, stun no parry 9x;Foe stumbles, with your assistance, and falls. His weapon breaks on impact. If foe has no chest armor, he takes a 'D' Krush.;+3H, stun 1x
90;Grasp foe's leg, lifting it off the ground for a moment. You have the initiative for 6 rounds.;+3H, stun 3x;Entangle foe's leg and send him down. He does not hit hard. He pulls a muscle in his leg struggling.;stun no parry 2x, foe @ -10;Your assault is strong and lucky. As you grapple foe, you stomp his foot. He falls hard, breaking his shoulder.;+10H, stun 6x, foe @ -40;Tie up both of foe's arms. He is immobile and cannot fight back effectively. You have him now.;+10H, stun no parry 9x;Foe stumbles, with your assistance, and falls. His weapon breaks on impact. If foe has no chest armor, he takes a 'D' Krush.;+3H, stun 1x
91;Entangle foe's leg. Foe is knocked down. Foe lands on his weapon arm. He kicks and breaks free.;+4H, stun no parry 2x;Pull foe's legs together. He goes down, hitting hard and dropping his weapon. He feebly attempts to crawl for it.;stun no parry 2x, foe @ -25 4x;Painfully immobilize weapon arm. Foe cannot surrender quickly enough to avoid the damage and pain.;+15H, stun no parry 4x, foe @ -95 8x;Grapple foe's legs and send him over. He hits his head in the fall. You get little resistance after that.;+10H, stun no parry 30x;Wrap up foe's legs. Foe tumbles to the ground like a ragdoll breaking both arms and an ankle. Foe is knocked out.;+20H, foe @ -95
92;Entangle foe's leg. Foe is knocked down. Foe lands on his weapon arm. He kicks and breaks free.;+4H, stun no parry 2x;Pull foe's legs together. He goes down, hitting hard and dropping his weapon. He feebly attempts to crawl for it.;stun no parry 2x, foe @ -25 4x;Painfully immobilize weapon arm. Foe cannot surrender quickly enough to avoid the damage and pain.;+15H, stun no parry 4x, foe @ -95 8x;Grapple foe's legs and send him over. He hits his head in the fall. You get little resistance after that.;+10H, stun no parry 30x;Wrap up foe's legs. Foe tumbles to the ground like a ragdoll breaking both arms and an ankle. Foe is knocked out.;+20H, foe @ -95
93;Entangle foe's leg. Foe is knocked down. Foe lands on his weapon arm. He kicks and breaks free.;+4H, stun no parry 2x;Pull foe's legs together. He goes down, hitting hard and dropping his weapon. He feebly attempts to crawl for it.;stun no parry 2x, foe @ -25 4x;Painfully immobilize weapon arm. Foe cannot surrender quickly enough to avoid the damage and pain.;+15H, stun no parry 4x, foe @ -95 8x;Grapple foe's legs and send him over. He hits his head in the fall. You get little resistance after that.;+10H, stun no parry 30x;Wrap up foe's legs. Foe tumbles to the ground like a ragdoll breaking both arms and an ankle. Foe is knocked out.;+20H, foe @ -95
94;Entangle foe's leg. Foe is knocked down. Foe lands on his weapon arm. He kicks and breaks free.;+4H, stun no parry 2x;Pull foe's legs together. He goes down, hitting hard and dropping his weapon. He feebly attempts to crawl for it.;stun no parry 2x, foe @ -25 4x;Painfully immobilize weapon arm. Foe cannot surrender quickly enough to avoid the damage and pain.;+15H, stun no parry 4x, foe @ -95 8x;Grapple foe's legs and send him over. He hits his head in the fall. You get little resistance after that.;+10H, stun no parry 30x;Wrap up foe's legs. Foe tumbles to the ground like a ragdoll breaking both arms and an ankle. Foe is knocked out.;+20H, foe @ -95
95;Entangle foe's leg. Foe is knocked down. Foe lands on his weapon arm. He kicks and breaks free.;+4H, stun no parry 2x;Pull foe's legs together. He goes down, hitting hard and dropping his weapon. He feebly attempts to crawl for it.;stun no parry 2x, foe @ -25 4x;Painfully immobilize weapon arm. Foe cannot surrender quickly enough to avoid the damage and pain.;+15H, stun no parry 4x, foe @ -95 8x;Grapple foe's legs and send him over. He hits his head in the fall. You get little resistance after that.;+10H, stun no parry 30x;Wrap up foe's legs. Foe tumbles to the ground like a ragdoll breaking both arms and an ankle. Foe is knocked out.;+20H, foe @ -95
96;Ride foe down and immobile him. He can do nothing for 12 rounds. You are prone also, while holding him down.;+0H;Entangle foe's arm and flip him to ground, fracturing his leg. You immobilize him completely. He is prone, face down and still conscious.;Foe @ -40;Entangle foe's legs. Grapple weapon arm and break it on an available surface. You send foe to the ground. He falls very hard and is knocked out.;+20H, stun no parry 10x, foe @ -30;Crushing grip around foe's neck. If no neck armor, foe dies in 6 rounds from your mortal grip. Foe is disarmed.;with neck armor: stun no parry 3x;Attack results in strangling hold. Foe flails legs in desperation. Foe is unable to break free and dies in 9 rounds of helpless struggling. Grim.;+3H, stun 1x
97;Ride foe down and immobile him. He can do nothing for 12 rounds. You are prone also, while holding him down.;+0H;Entangle foe's arm and flip him to ground, fracturing his leg. You immobilize him completely. He is prone, face down and still conscious.;Foe @ -40;Entangle foe's legs. Grapple weapon arm and break it on an available surface. You send foe to the ground. He falls very hard and is knocked out.;+20H, stun no parry 10x, foe @ -30;Crushing grip around foe's neck. If no neck armor, foe dies in 6 rounds from your mortal grip. Foe is disarmed.;with neck armor: stun no parry 3x;Attack results in strangling hold. Foe flails legs in desperation. Foe is unable to break free and dies in 9 rounds of helpless struggling. Grim.;+3H, stun 1x
98;Ride foe down and immobile him. He can do nothing for 12 rounds. You are prone also, while holding him down.;+0H;Entangle foe's arm and flip him to ground, fracturing his leg. You immobilize him completely. He is prone, face down and still conscious.;Foe @ -40;Entangle foe's legs. Grapple weapon arm and break it on an available surface. You send foe to the ground. He falls very hard and is knocked out.;+20H, stun no parry 10x, foe @ -30;Crushing grip around foe's neck. If no neck armor, foe dies in 6 rounds from your mortal grip. Foe is disarmed.;with neck armor: stun no parry 3x;Attack results in strangling hold. Foe flails legs in desperation. Foe is unable to break free and dies in 9 rounds of helpless struggling. Grim.;+3H, stun 1x
99;Ride foe down and immobile him. He can do nothing for 12 rounds. You are prone also, while holding him down.;+0H;Entangle foe's arm and flip him to ground, fracturing his leg. You immobilize him completely. He is prone, face down and still conscious.;Foe @ -40;Entangle foe's legs. Grapple weapon arm and break it on an available surface. You send foe to the ground. He falls very hard and is knocked out.;+20H, stun no parry 10x, foe @ -30;Crushing grip around foe's neck. If no neck armor, foe dies in 6 rounds from your mortal grip. Foe is disarmed.;with neck armor: stun no parry 3x;Attack results in strangling hold. Foe flails legs in desperation. Foe is unable to break free and dies in 9 rounds of helpless struggling. Grim.;+3H, stun 1x
100;Foe's legs are entangled long enough to make him fall. He is knocked out for 5 rounds.;+9H, (+20 Next Attack);Grip foe's neck in a vicious hold. If foe cannot break your grip in 4 rounds, he will begin to pass out from suffocation.;+10H, stun 1x, foe @ -40;Grip foe's head and jerk it around. If foe has no neck armor, he dies.;with neck armor: +5H, stun no parry 5x, foe @ -75;Grapple foe's head. His skull is fractured during this assault. If he has no helm, he is in a coma for 30 days.;with helm: +3H, stun no parry 9x;Crush foe's windpipe and pull the head from his body. You are mighty.;(+25 Next Attack)
