0;A;A-D;B;B-D;C;C-D;D;D-D;E;E-D
74;Strike to lower leg.;With leg greaves: +5H, no parry 3x, foe @ -10 | w/o: +3H, stun no parry 1x, foe @ -25;Strike to foe's calf. Slash muscle. Foe almost falls down.;+3H, stun no parry 2x, foe @ -40;Destructive strike to lower leg. If foe has leg armor, it is torn free.;+5H, stun no parry 2x, foe @ -50;Excellent blow to lower leg slashes muscles and cartilage. Foe falls prone.;+6H, stun no parry 2x, foe @ -50;Strike plunges into leg with deadly effect. Foe drops, gripping his leg in pain.;stun no parry 3x, foe @ -75
75;Strike to lower leg.;With leg greaves: +5H, no parry 3x, foe @ -10 | w/o: +3H, stun no parry 1x, foe @ -25;Strike to foe's calf. Slash muscle. Foe almost falls down.;+3H, stun no parry 2x, foe @ -40;Destructive strike to lower leg. If foe has leg armor, it is torn free.;+5H, stun no parry 2x, foe @ -50;Excellent blow to lower leg slashes muscles and cartilage. Foe falls prone.;+6H, stun no parry 2x, foe @ -50;Strike plunges into leg with deadly effect. Foe drops, gripping his leg in pain.;stun no parry 3x, foe @ -75
76;Strike foe in upper arm. You tear his pretty clothes.;+3H, stun 2x, bleeding 3x, foe @ -25;Strike to shield side. If foe has shield, your weapon is stuck in it for a round.;stun 3x, bleeding 3x, foe @ -30;Strike through muscle in shield arm. If foe has a shield, he drops it.;stun 6x, bleeding 3x, foe @ -25;Strike to foe's shield arm. Arm is useless.;+12H, stun 6x, bleeding 3x;Strike foe in weapon arm, the bone is broken. Arm is useless.;+10H, stun no parry 3x
77;Strike foe in upper arm. You tear his pretty clothes.;+3H, stun 2x, bleeding 3x, foe @ -25;Strike to shield side. If foe has shield, your weapon is stuck in it for a round.;stun 3x, bleeding 3x, foe @ -30;Strike through muscle in shield arm. If foe has a shield, he drops it.;stun 6x, bleeding 3x, foe @ -25;Strike to foe's shield arm. Arm is useless.;+12H, stun 6x, bleeding 3x;Strike foe in weapon arm, the bone is broken. Arm is useless.;+10H, stun no parry 3x
78;Strike foe in upper arm. You tear his pretty clothes.;+3H, stun 2x, bleeding 3x, foe @ -25;Strike to shield side. If foe has shield, your weapon is stuck in it for a round.;stun 3x, bleeding 3x, foe @ -30;Strike through muscle in shield arm. If foe has a shield, he drops it.;stun 6x, bleeding 3x, foe @ -25;Strike to foe's shield arm. Arm is useless.;+12H, stun 6x, bleeding 3x;Strike foe in weapon arm, the bone is broken. Arm is useless.;+10H, stun no parry 3x
79;Strike foe in upper arm. You tear his pretty clothes.;+3H, stun 2x, bleeding 3x, foe @ -25;Strike to shield side. If foe has shield, your weapon is stuck in it for a round.;stun 3x, bleeding 3x, foe @ -30;Strike through muscle in shield arm. If foe has a shield, he drops it.;stun 6x, bleeding 3x, foe @ -25;Strike to foe's shield arm. Arm is useless.;+12H, stun 6x, bleeding 3x;Strike foe in weapon arm, the bone is broken. Arm is useless.;+10H, stun no parry 3x
80;Strike foe in upper arm. You tear his pretty clothes.;+3H, stun 2x, bleeding 3x, foe @ -25;Strike to shield side. If foe has shield, your weapon is stuck in it for a round.;stun 3x, bleeding 3x, foe @ -30;Strike through muscle in shield arm. If foe has a shield, he drops it.;stun 6x, bleeding 3x, foe @ -25;Strike to foe's shield arm. Arm is useless.;+12H, stun 6x, bleeding 3x;Strike foe in weapon arm, the bone is broken. Arm is useless.;+10H, stun no parry 3x
81;Deep wound in foe's side. Well, it looked like a killing blow.;stun 6x, bleeding 5x, (+20 Next Attack);Tear open foe's side in graphic display of violence.;+6H, stun no parry 3x, bleeding 5x, foe @ -25;Strike bites into foe's ribs. The impact sounds truly terrible.;+6H, stun no parry 3x, bleeding 5x, foe @ -25;Major abdominal wound. Blood pours out in frightening quantities.;+10H, stun no parry 3x, bleeding 6x, foe @ -20;Strike to foe's back severs a vein. Foe goes to his knees and dies in 12 rounds.;-0
82;Deep wound in foe's side. Well, it looked like a killing blow.;stun 6x, bleeding 5x, (+20 Next Attack);Tear open foe's side in graphic display of violence.;+6H, stun no parry 3x, bleeding 5x, foe @ -25;Strike bites into foe's ribs. The impact sounds truly terrible.;+6H, stun no parry 3x, bleeding 5x, foe @ -25;Major abdominal wound. Blood pours out in frightening quantities.;+10H, stun no parry 3x, bleeding 6x, foe @ -20;Strike to foe's back severs a vein. Foe goes to his knees and dies in 12 rounds.;-0
83;Deep wound in foe's side. Well, it looked like a killing blow.;stun 6x, bleeding 5x, (+20 Next Attack);Tear open foe's side in graphic display of violence.;+6H, stun no parry 3x, bleeding 5x, foe @ -25;Strike bites into foe's ribs. The impact sounds truly terrible.;+6H, stun no parry 3x, bleeding 5x, foe @ -25;Major abdominal wound. Blood pours out in frightening quantities.;+10H, stun no parry 3x, bleeding 6x, foe @ -20;Strike to foe's back severs a vein. Foe goes to his knees and dies in 12 rounds.;-0
84;Deep wound in foe's side. Well, it looked like a killing blow.;stun 6x, bleeding 5x, (+20 Next Attack);Tear open foe's side in graphic display of violence.;+6H, stun no parry 3x, bleeding 5x, foe @ -25;Strike bites into foe's ribs. The impact sounds truly terrible.;+6H, stun no parry 3x, bleeding 5x, foe @ -25;Major abdominal wound. Blood pours out in frightening quantities.;+10H, stun no parry 3x, bleeding 6x, foe @ -20;Strike to foe's back severs a vein. Foe goes to his knees and dies in 12 rounds.;-0
85;Deep wound in foe's side. Well, it looked like a killing blow.;stun 6x, bleeding 5x, (+20 Next Attack);Tear open foe's side in graphic display of violence.;+6H, stun no parry 3x, bleeding 5x, foe @ -25;Strike bites into foe's ribs. The impact sounds truly terrible.;+6H, stun no parry 3x, bleeding 5x, foe @ -25;Major abdominal wound. Blood pours out in frightening quantities.;+10H, stun no parry 3x, bleeding 6x, foe @ -20;Strike to foe's back severs a vein. Foe goes to his knees and dies in 12 rounds.;-0
86;Catch foe in back. He drops his guard and stumbles forward.;stun no parry 2x, bleeding 2x, foe @ -20;Strike to foe's head. If foe has no helm he dies. If foe has helm, he fails to his knees.;+6H, stun no parry 2x;Strike impacts on foe's head. If he has no helm, he dies. Helm is destroyed.;+6H, stun no parry 2x;Strike through foes kidneys. Foe is down and immobile for 2 hours, then he dies.;+9H;Strike plunges in just below foe's collarbone. Foe drops and dies in 12 rounds.;-0
87;Catch foe in back. He drops his guard and stumbles forward.;stun no parry 2x, bleeding 2x, foe @ -20;Strike to foe's head. If foe has no helm he dies. If foe has helm, he fails to his knees.;+6H, stun no parry 2x;Strike impacts on foe's head. If he has no helm, he dies. Helm is destroyed.;+6H, stun no parry 2x;Strike through foes kidneys. Foe is down and immobile for 2 hours, then he dies.;+9H;Strike plunges in just below foe's collarbone. Foe drops and dies in 12 rounds.;-0
88;Catch foe in back. He drops his guard and stumbles forward.;stun no parry 2x, bleeding 2x, foe @ -20;Strike to foe's head. If foe has no helm he dies. If foe has helm, he fails to his knees.;+6H, stun no parry 2x;Strike impacts on foe's head. If he has no helm, he dies. Helm is destroyed.;+6H, stun no parry 2x;Strike through foes kidneys. Foe is down and immobile for 2 hours, then he dies.;+9H;Strike plunges in just below foe's collarbone. Foe drops and dies in 12 rounds.;-0
89;Catch foe in back. He drops his guard and stumbles forward.;stun no parry 2x, bleeding 2x, foe @ -20;Strike to foe's head. If foe has no helm he dies. If foe has helm, he fails to his knees.;+6H, stun no parry 2x;Strike impacts on foe's head. If he has no helm, he dies. Helm is destroyed.;+6H, stun no parry 2x;Strike through foes kidneys. Foe is down and immobile for 2 hours, then he dies.;+9H;Strike plunges in just below foe's collarbone. Foe drops and dies in 12 rounds.;-0
90;Catch foe in back. He drops his guard and stumbles forward.;stun no parry 2x, bleeding 2x, foe @ -20;Strike to foe's head. If foe has no helm he dies. If foe has helm, he fails to his knees.;+6H, stun no parry 2x;Strike impacts on foe's head. If he has no helm, he dies. Helm is destroyed.;+6H, stun no parry 2x;Strike through foes kidneys. Foe is down and immobile for 2 hours, then he dies.;+9H;Strike plunges in just below foe's collarbone. Foe drops and dies in 12 rounds.;-0
91;Strike to foe's ear. Foe hears at -50.;With helm: +5H, stun 4x, no parry 1x | w/o: +3H, bleeding 2x, stun no parry 2x;Strike to foe's hip.;With waist armor: +7H, stun 1x, foe @ -10 | w/o: +5H, stun 1x, bleeding 3x, foe @ -25;Strike to chest. If foe has plate chest armor, he drops and dies in 9 rounds. If not, he dies instantly.;-0;Strike through foe's side spills his guts on the floor. Foe fights on normally for 6 rounds, then dies.;-0;Your weapon passes through the arm and sticks out the other side. Foe dies in 12 rounds.;-0
92;Strike to foe's ear. Foe hears at -50.;With helm: +5H, stun 4x, no parry 1x | w/o: +3H, bleeding 2x, stun no parry 2x;Strike to foe's hip.;With waist armor: +7H, stun 1x, foe @ -10 | w/o: +5H, stun 1x, bleeding 3x, foe @ -25;Strike to chest. If foe has plate chest armor, he drops and dies in 9 rounds. If not, he dies instantly.;-0;Strike through foe's side spills his guts on the floor. Foe fights on normally for 6 rounds, then dies.;-0;Your weapon passes through the arm and sticks out the other side. Foe dies in 12 rounds.;-0
93;Strike to foe's ear. Foe hears at -50.;With helm: +5H, stun 4x, no parry 1x | w/o: +3H, bleeding 2x, stun no parry 2x;Strike to foe's hip.;With waist armor: +7H, stun 1x, foe @ -10 | w/o: +5H, stun 1x, bleeding 3x, foe @ -25;Strike to chest. If foe has plate chest armor, he drops and dies in 9 rounds. If not, he dies instantly.;-0;Strike through foe's side spills his guts on the floor. Foe fights on normally for 6 rounds, then dies.;-0;Your weapon passes through the arm and sticks out the other side. Foe dies in 12 rounds.;-0
94;Strike to foe's ear. Foe hears at -50.;With helm: +5H, stun 4x, no parry 1x | w/o: +3H, bleeding 2x, stun no parry 2x;Strike to foe's hip.;With waist armor: +7H, stun 1x, foe @ -10 | w/o: +5H, stun 1x, bleeding 3x, foe @ -25;Strike to chest. If foe has plate chest armor, he drops and dies in 9 rounds. If not, he dies instantly.;-0;Strike through foe's side spills his guts on the floor. Foe fights on normally for 6 rounds, then dies.;-0;Your weapon passes through the arm and sticks out the other side. Foe dies in 12 rounds.;-0
95;Strike to foe's ear. Foe hears at -50.;With helm: +5H, stun 4x, no parry 1x | w/o: +3H, bleeding 2x, stun no parry 2x;Strike to foe's hip.;With waist armor: +7H, stun 1x, foe @ -10 | w/o: +5H, stun 1x, bleeding 3x, foe @ -25;Strike to chest. If foe has plate chest armor, he drops and dies in 9 rounds. If not, he dies instantly.;-0;Strike through foe's side spills his guts on the floor. Foe fights on normally for 6 rounds, then dies.;-0;Your weapon passes through the arm and sticks out the other side. Foe dies in 12 rounds.;-0
96;Strike to nose. There is a permanent scar. Foe's eyes are crossed for a moment.;stun no parry 3x, bleeding 3x;Strike through foe's cheek and throat. Foe drops and dies after 9 rounds of incapacity.;(+20 Next Attack);Strike through foe's neck breaks backbone and severs spine. Foe is paralyzed from the neck down.;-0;Strike plunges into doomed foe's chest and emerges from the other side. Foe drops and dies in 6 rounds.;-0;Shot through heart sends foe reeling back 10 feet to a place suitable for death. Your weapon is stuck in reeling foe.;-0
97;Strike to nose. There is a permanent scar. Foe's eyes are crossed for a moment.;stun no parry 3x, bleeding 3x;Strike through foe's cheek and throat. Foe drops and dies after 9 rounds of incapacity.;(+20 Next Attack);Strike through foe's neck breaks backbone and severs spine. Foe is paralyzed from the neck down.;-0;Strike plunges into doomed foe's chest and emerges from the other side. Foe drops and dies in 6 rounds.;-0;Shot through heart sends foe reeling back 10 feet to a place suitable for death. Your weapon is stuck in reeling foe.;-0
98;Strike to nose. There is a permanent scar. Foe's eyes are crossed for a moment.;stun no parry 3x, bleeding 3x;Strike through foe's cheek and throat. Foe drops and dies after 9 rounds of incapacity.;(+20 Next Attack);Strike through foe's neck breaks backbone and severs spine. Foe is paralyzed from the neck down.;-0;Strike plunges into doomed foe's chest and emerges from the other side. Foe drops and dies in 6 rounds.;-0;Shot through heart sends foe reeling back 10 feet to a place suitable for death. Your weapon is stuck in reeling foe.;-0
99;Strike to nose. There is a permanent scar. Foe's eyes are crossed for a moment.;stun no parry 3x, bleeding 3x;Strike through foe's cheek and throat. Foe drops and dies after 9 rounds of incapacity.;(+20 Next Attack);Strike through foe's neck breaks backbone and severs spine. Foe is paralyzed from the neck down.;-0;Strike plunges into doomed foe's chest and emerges from the other side. Foe drops and dies in 6 rounds.;-0;Shot through heart sends foe reeling back 10 feet to a place suitable for death. Your weapon is stuck in reeling foe.;-0
100;Strike through neck. Sever vein and artery. Foe cannot breath. Foe drops and dies of heart failure.;-0;Strike plunges into foe's eye. Foe dies instantly. Foe remains standing for a moment until he realizes this.;All allies get +10 for 1 round;Shot through both ears proves effective. Foe dies instantly. Pretty shot.;6x (+20 Next Attack);Strike through brain makes life difficult for foe. You have a half round left to act.;(+20 Next Attack);Strike to foe's eye. Foe dies instantly. Carry on soldier.;(+25 Next Attack)
