0;A;A-D;B;B-D;C;C-D;D;D-D;E;E-D
74;Knife hand, spear hand combination. Foe must roll a weapon fumble.;stun 1x;Hammer foe's weapon arm as it passes near you. The bruise is deep. Foe holds tight to his weapon.;+6H, stun 2x, foe @ -20;Strike to back of lower leg. Foe struggles to keep balance. He is unable to defend himself.;stun no parry 2x;Firm flat palm strike to foe's collarbone. Bone is broken. Foe guard is down. It hurts him to raise his arm.;stun no parry 2x, foe @ -25;Kick foe's knee in backwards. Tendons and muscles are torn. Foe yells out frightfully in response.;+5H, stun 3x, foe @ -50
75;Knife hand, spear hand combination. Foe must roll a weapon fumble.;stun 1x;Hammer foe's weapon arm as it passes near you. The bruise is deep. Foe holds tight to his weapon.;+6H, stun 2x, foe @ -20;Strike to back of lower leg. Foe struggles to keep balance. He is unable to defend himself.;stun no parry 2x;Firm flat palm strike to foe's collarbone. Bone is broken. Foe guard is down. It hurts him to raise his arm.;stun no parry 2x, foe @ -25;Kick foe's knee in backwards. Tendons and muscles are torn. Foe yells out frightfully in response.;+5H, stun 3x, foe @ -50
76;Blow to foe's shield arm. If he has a shield, it is broken. If foe has no shield, his arm is broken.;+6H, stun 1x;You find an opening and strike the back of foe's knee. The impact damages tendons and unbalances foe.;stun 2x, foe @ -25;You turn a block into a strike to foe's weapon arm. Foe is disarmed. Strike damages cartilage.;stun 1x, foe @ -10;Strike and grip area behind foe's knee. Tendon and cartilage damage insures your success.;Foe @ -75;Front kick to midsection doubles foe over. You follow with a knee strike which breaks foe's nose and knocks foe out.;+0H
77;Blow to foe's shield arm. If he has a shield, it is broken. If foe has no shield, his arm is broken.;+6H, stun 1x;You find an opening and strike the back of foe's knee. The impact damages tendons and unbalances foe.;stun 2x, foe @ -25;You turn a block into a strike to foe's weapon arm. Foe is disarmed. Strike damages cartilage.;stun 1x, foe @ -10;Strike and grip area behind foe's knee. Tendon and cartilage damage insures your success.;Foe @ -75;Front kick to midsection doubles foe over. You follow with a knee strike which breaks foe's nose and knocks foe out.;+0H
78;Blow to foe's shield arm. If he has a shield, it is broken. If foe has no shield, his arm is broken.;+6H, stun 1x;You find an opening and strike the back of foe's knee. The impact damages tendons and unbalances foe.;stun 2x, foe @ -25;You turn a block into a strike to foe's weapon arm. Foe is disarmed. Strike damages cartilage.;stun 1x, foe @ -10;Strike and grip area behind foe's knee. Tendon and cartilage damage insures your success.;Foe @ -75;Front kick to midsection doubles foe over. You follow with a knee strike which breaks foe's nose and knocks foe out.;+0H
79;Blow to foe's shield arm. If he has a shield, it is broken. If foe has no shield, his arm is broken.;+6H, stun 1x;You find an opening and strike the back of foe's knee. The impact damages tendons and unbalances foe.;stun 2x, foe @ -25;You turn a block into a strike to foe's weapon arm. Foe is disarmed. Strike damages cartilage.;stun 1x, foe @ -10;Strike and grip area behind foe's knee. Tendon and cartilage damage insures your success.;Foe @ -75;Front kick to midsection doubles foe over. You follow with a knee strike which breaks foe's nose and knocks foe out.;+0H
80;Blow to foe's shield arm. If he has a shield, it is broken. If foe has no shield, his arm is broken.;+6H, stun 1x;You find an opening and strike the back of foe's knee. The impact damages tendons and unbalances foe.;stun 2x, foe @ -25;You turn a block into a strike to foe's weapon arm. Foe is disarmed. Strike damages cartilage.;stun 1x, foe @ -10;Strike and grip area behind foe's knee. Tendon and cartilage damage insures your success.;Foe @ -75;Front kick to midsection doubles foe over. You follow with a knee strike which breaks foe's nose and knocks foe out.;+0H
81;Kick to foe's weapon arm. Foe is disarmed. Your strike does little else.;+3H;Kick foe's weapon arm and send weapon flying 5 feet away. You break 2 of foe's fingers.;+3H, stun 2x, foe @ -20;Heel kick breaks bone in foe's foot. Foe has trouble standing. His foot looks bad.;stun no parry 2x, foe @ -50;Kick to foe's leg is clean and mean. Leg is broken above the knee. Foe fails over slowly.;+5H, stun no parry 5x, foe @ -75;Powerful strike shatters knee and then disjoints it. Foe drops. Oh that hurts!;+15H, stun no parry 12x, foe @ -80
82;Kick to foe's weapon arm. Foe is disarmed. Your strike does little else.;+3H;Kick foe's weapon arm and send weapon flying 5 feet away. You break 2 of foe's fingers.;+3H, stun 2x, foe @ -20;Heel kick breaks bone in foe's foot. Foe has trouble standing. His foot looks bad.;stun no parry 2x, foe @ -50;Kick to foe's leg is clean and mean. Leg is broken above the knee. Foe fails over slowly.;+5H, stun no parry 5x, foe @ -75;Powerful strike shatters knee and then disjoints it. Foe drops. Oh that hurts!;+15H, stun no parry 12x, foe @ -80
83;Kick to foe's weapon arm. Foe is disarmed. Your strike does little else.;+3H;Kick foe's weapon arm and send weapon flying 5 feet away. You break 2 of foe's fingers.;+3H, stun 2x, foe @ -20;Heel kick breaks bone in foe's foot. Foe has trouble standing. His foot looks bad.;stun no parry 2x, foe @ -50;Kick to foe's leg is clean and mean. Leg is broken above the knee. Foe fails over slowly.;+5H, stun no parry 5x, foe @ -75;Powerful strike shatters knee and then disjoints it. Foe drops. Oh that hurts!;+15H, stun no parry 12x, foe @ -80
84;Kick to foe's weapon arm. Foe is disarmed. Your strike does little else.;+3H;Kick foe's weapon arm and send weapon flying 5 feet away. You break 2 of foe's fingers.;+3H, stun 2x, foe @ -20;Heel kick breaks bone in foe's foot. Foe has trouble standing. His foot looks bad.;stun no parry 2x, foe @ -50;Kick to foe's leg is clean and mean. Leg is broken above the knee. Foe fails over slowly.;+5H, stun no parry 5x, foe @ -75;Powerful strike shatters knee and then disjoints it. Foe drops. Oh that hurts!;+15H, stun no parry 12x, foe @ -80
85;Kick to foe's weapon arm. Foe is disarmed. Your strike does little else.;+3H;Kick foe's weapon arm and send weapon flying 5 feet away. You break 2 of foe's fingers.;+3H, stun 2x, foe @ -20;Heel kick breaks bone in foe's foot. Foe has trouble standing. His foot looks bad.;stun no parry 2x, foe @ -50;Kick to foe's leg is clean and mean. Leg is broken above the knee. Foe fails over slowly.;+5H, stun no parry 5x, foe @ -75;Powerful strike shatters knee and then disjoints it. Foe drops. Oh that hurts!;+15H, stun no parry 12x, foe @ -80
86;Fluid move following by a leaping kick to foe's back, knocks foe down. He is shaken and tries to stand.;stun 3x;Wheel kick knocks foe flat. Smash tendons and tear muscle. You spin clear with too much energy.;stun 9x, foe @ -30;Clean strike to lower leg rips Achilies tendon and drops foe.;+10H, stun 9x, foe @ -80;Open-handed blow to foe's adam's apple crushes foe's windpipe. Foe dies in 18 rounds of shock and asphyxiation.;+0H;Round house kick to kidneys drops foe to his knees. You grip foe's neck and snap it very effectively. Foe dies in 9 round.;+0H
87;Fluid move following by a leaping kick to foe's back, knocks foe down. He is shaken and tries to stand.;stun 3x;Wheel kick knocks foe flat. Smash tendons and tear muscle. You spin clear with too much energy.;stun 9x, foe @ -30;Clean strike to lower leg rips Achilies tendon and drops foe.;+10H, stun 9x, foe @ -80;Open-handed blow to foe's adam's apple crushes foe's windpipe. Foe dies in 18 rounds of shock and asphyxiation.;+0H;Round house kick to kidneys drops foe to his knees. You grip foe's neck and snap it very effectively. Foe dies in 9 round.;+0H
88;Fluid move following by a leaping kick to foe's back, knocks foe down. He is shaken and tries to stand.;stun 3x;Wheel kick knocks foe flat. Smash tendons and tear muscle. You spin clear with too much energy.;stun 9x, foe @ -30;Clean strike to lower leg rips Achilies tendon and drops foe.;+10H, stun 9x, foe @ -80;Open-handed blow to foe's adam's apple crushes foe's windpipe. Foe dies in 18 rounds of shock and asphyxiation.;+0H;Round house kick to kidneys drops foe to his knees. You grip foe's neck and snap it very effectively. Foe dies in 9 round.;+0H
89;Fluid move following by a leaping kick to foe's back, knocks foe down. He is shaken and tries to stand.;stun 3x;Wheel kick knocks foe flat. Smash tendons and tear muscle. You spin clear with too much energy.;stun 9x, foe @ -30;Clean strike to lower leg rips Achilies tendon and drops foe.;+10H, stun 9x, foe @ -80;Open-handed blow to foe's adam's apple crushes foe's windpipe. Foe dies in 18 rounds of shock and asphyxiation.;+0H;Round house kick to kidneys drops foe to his knees. You grip foe's neck and snap it very effectively. Foe dies in 9 round.;+0H
90;Fluid move following by a leaping kick to foe's back, knocks foe down. He is shaken and tries to stand.;stun 3x;Wheel kick knocks foe flat. Smash tendons and tear muscle. You spin clear with too much energy.;stun 9x, foe @ -30;Clean strike to lower leg rips Achilies tendon and drops foe.;+10H, stun 9x, foe @ -80;Open-handed blow to foe's adam's apple crushes foe's windpipe. Foe dies in 18 rounds of shock and asphyxiation.;+0H;Round house kick to kidneys drops foe to his knees. You grip foe's neck and snap it very effectively. Foe dies in 9 round.;+0H
91;Strike to nerve in foe's leg. Foe's leg buckles. He does not fall, he crouches down in pain.;+8H, stun no parry 2x, foe @ -40 6x;Strike to foe's knee shatters joint. Foe drops down hard. He drips his knee and spits out an oath.;stun no parry 4x, foe @ -85;Flying kick to foe's back. You knock foe down, disarm him, and leave him in trouble.;stun no parry 12x;Jab to foe's eyes blinds him. Crescent kick sends foe 10 feet in the direction you select.;stun 10x, foe @ -100;Strike to abdomen ruptures spleen. Foe spits out blood instantly. He drops and dies in 12 rounds.;(+10 Next Attack)
92;Strike to nerve in foe's leg. Foe's leg buckles. He does not fall, he crouches down in pain.;+8H, stun no parry 2x, foe @ -40 6x;Strike to foe's knee shatters joint. Foe drops down hard. He drips his knee and spits out an oath.;stun no parry 4x, foe @ -85;Flying kick to foe's back. You knock foe down, disarm him, and leave him in trouble.;stun no parry 12x;Jab to foe's eyes blinds him. Crescent kick sends foe 10 feet in the direction you select.;stun 10x, foe @ -100;Strike to abdomen ruptures spleen. Foe spits out blood instantly. He drops and dies in 12 rounds.;(+10 Next Attack)
93;Strike to nerve in foe's leg. Foe's leg buckles. He does not fall, he crouches down in pain.;+8H, stun no parry 2x, foe @ -40 6x;Strike to foe's knee shatters joint. Foe drops down hard. He drips his knee and spits out an oath.;stun no parry 4x, foe @ -85;Flying kick to foe's back. You knock foe down, disarm him, and leave him in trouble.;stun no parry 12x;Jab to foe's eyes blinds him. Crescent kick sends foe 10 feet in the direction you select.;stun 10x, foe @ -100;Strike to abdomen ruptures spleen. Foe spits out blood instantly. He drops and dies in 12 rounds.;(+10 Next Attack)
94;Strike to nerve in foe's leg. Foe's leg buckles. He does not fall, he crouches down in pain.;+8H, stun no parry 2x, foe @ -40 6x;Strike to foe's knee shatters joint. Foe drops down hard. He drips his knee and spits out an oath.;stun no parry 4x, foe @ -85;Flying kick to foe's back. You knock foe down, disarm him, and leave him in trouble.;stun no parry 12x;Jab to foe's eyes blinds him. Crescent kick sends foe 10 feet in the direction you select.;stun 10x, foe @ -100;Strike to abdomen ruptures spleen. Foe spits out blood instantly. He drops and dies in 12 rounds.;(+10 Next Attack)
95;Strike to nerve in foe's leg. Foe's leg buckles. He does not fall, he crouches down in pain.;+8H, stun no parry 2x, foe @ -40 6x;Strike to foe's knee shatters joint. Foe drops down hard. He drips his knee and spits out an oath.;stun no parry 4x, foe @ -85;Flying kick to foe's back. You knock foe down, disarm him, and leave him in trouble.;stun no parry 12x;Jab to foe's eyes blinds him. Crescent kick sends foe 10 feet in the direction you select.;stun 10x, foe @ -100;Strike to abdomen ruptures spleen. Foe spits out blood instantly. He drops and dies in 12 rounds.;(+10 Next Attack)
96;You block foe's attack. You then follow-up with a side strike that knocks foe down. Foe hits hard and loses his direction.;stun no parry 3x;Roundhouse kick knocks foe out and fractures collarbone. Neck is sprained and shoulder muscles are bruised.;stun no parry 20x, foe @ -100 20x;Kick to foe's solar plexus. He stumbles back 10 feet. He falls very hard.;+30H, stun no parry 30x;Roundhouse kick catches foe in back of head. You slam foe's head into the ground. Severe concussion. Foe dies of hemorrhage in 9 rounds.;+0H;Double palmstrike to foe's nose breaks cartilage and drives bone into brain. The effects are rapid. Foe dies after 6 rounds prone and immobile.;+0H
97;You block foe's attack. You then follow-up with a side strike that knocks foe down. Foe hits hard and loses his direction.;stun no parry 3x;Roundhouse kick knocks foe out and fractures collarbone. Neck is sprained and shoulder muscles are bruised.;stun no parry 20x, foe @ -100 20x;Kick to foe's solar plexus. He stumbles back 10 feet. He falls very hard.;+30H, stun no parry 30x;Roundhouse kick catches foe in back of head. You slam foe's head into the ground. Severe concussion. Foe dies of hemorrhage in 9 rounds.;+0H;Double palmstrike to foe's nose breaks cartilage and drives bone into brain. The effects are rapid. Foe dies after 6 rounds prone and immobile.;+0H
98;You block foe's attack. You then follow-up with a side strike that knocks foe down. Foe hits hard and loses his direction.;stun no parry 3x;Roundhouse kick knocks foe out and fractures collarbone. Neck is sprained and shoulder muscles are bruised.;stun no parry 20x, foe @ -100 20x;Kick to foe's solar plexus. He stumbles back 10 feet. He falls very hard.;+30H, stun no parry 30x;Roundhouse kick catches foe in back of head. You slam foe's head into the ground. Severe concussion. Foe dies of hemorrhage in 9 rounds.;+0H;Double palmstrike to foe's nose breaks cartilage and drives bone into brain. The effects are rapid. Foe dies after 6 rounds prone and immobile.;+0H
99;You block foe's attack. You then follow-up with a side strike that knocks foe down. Foe hits hard and loses his direction.;stun no parry 3x;Roundhouse kick knocks foe out and fractures collarbone. Neck is sprained and shoulder muscles are bruised.;stun no parry 20x, foe @ -100 20x;Kick to foe's solar plexus. He stumbles back 10 feet. He falls very hard.;+30H, stun no parry 30x;Roundhouse kick catches foe in back of head. You slam foe's head into the ground. Severe concussion. Foe dies of hemorrhage in 9 rounds.;+0H;Double palmstrike to foe's nose breaks cartilage and drives bone into brain. The effects are rapid. Foe dies after 6 rounds prone and immobile.;+0H
100;Gooseneck strike. Foe's inner ear ruptured. Foe stands there while your follow-up strike knocks him down and out!;Foe @ -75;Knife hand strike to foe's weapon arm breaks bone. Kick to lower back breaks foe's backbone, leaving foe paralyzed from the waist down.;+5H;Sweep lays foe out and heel strike to foe's sternium collapses the ribcage. Foe is helpless and dies in 4 rounds.;+0H;Goosh! Awesome spear hand strike find seam, penetrates solar plexus and ruptures the heart. Foe dies instantly.;+0H;Disarm foe and use his weapon to kill him. A follow-up strike breaks his break and you send him 5 feet in any direction. He is dead twice.;+0H
